Unnamed: 0,Emotion,Text,Clean_Text
1,joy,Sage Act upgrade on my to do list for tommorow.,Sage Act upgrade list tommorow
3,joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . ",eye  true hazel eyeand brilliant  Regular features  open countenance  complexion  Oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
4,joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang ",  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
12,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
17,joy,I have a feeling i will fail french #fuckfrench,feeling fail french #fuckfrench
18,joy, Good.Let ' s go now . ,GoodLet  
21,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile.""",fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
27,joy,One could get terribly ecstatic but that would be a dangerous thing to do . ,terribly ecstatic dangerous thing 
29,joy,When I was selected to study here at university.,selected study university
30,joy," Yeah , it ’ s been ages ! So how have you been ? ",Yeah  ’ ages  
35,joy,When I passed the B.A exams with first class results.,passed BA exams class results
47,joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.,heard selected fot year university Zambia form Chikola secondary school
49,joy,Welp time to study for the next few days... ,Welp time study days
50,joy,Heading to campus in the rain to take grad photos ,Heading campus rain grad photos
62,joy, I am feeling awesome .,feeling awesome 
63,joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :),  brings  Ive bought Christmas presents trawl loads shops :)
70,joy,I just shit my pants. Pure 100% gravy. ,shit pants Pure 100% gravy
71,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
73,joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. ,Class jamming paper quarter reason celebrate though Studying begin right after
81,joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
84,joy,Now time to unpack and finish some homework ,time unpack finish homework
92,joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc.",choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
96,joy,The world can't give you only happiness. One last a lot longer. #GoFigure,world cant happiness lot longer #GoFigure
99,joy,Oh early morning preachings by my father ,Oh early morning preachings father
100,joy,If you are robbed of during tribulation it is because u hav not entered into the means He has provided for Joy #prayer Communion w God,robbed tribulation u hav entered means provided Joy #prayer Communion w God
102,joy,"Good morning , Jim ! ",Good morning  Jim 
105,joy,If chris Paul sum how goes to the clippers. Idk I'll lose it ,chris Paul sum goes clippers Idk Ill lose
108,joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . ",advertisements appeared Novoye Russkoye weekend  causing buzz excitement Soviet expatriate enclave Brighton Beach  known Little Odessa 
110,joy,Thrilled to reunite with my best friend today! It's raining though and we have to find our way to a theater for a dance show downtown. ,Thrilled reunite best friend today raining find way theater dance downtown
113,joy,"Study all day tomorrow, most of the day Saturday and Sunday. ",Study day tomorrow day Saturday Sunday
119,joy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . ",normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
123,joy,"Took a nap for a few hours, now watching Christmas movies  ",Took nap hours watching Christmas movies
128,joy,ill be working from 9pm-6am on black Friday ,ill working 9pm6am black Friday
133,joy,@sabambury I wish everyone saw Church as a highlight of Christmas! ,  wish saw Church highlight Christmas
138,joy,"Some people bring joy wherever they go, and some people bring joy whenever they go.— Mark Twain   ",people bring joy go people bring joy go— Mark Twain
139,joy,yaay! my brother said he'll play badminton with me tomorrow :D ,yaay brother said hell play badminton tomorrow :D
141,joy,Going to a concert.,Going concert
146,joy," We do many things . In the morning , we go swimming and boating . In the afternoon , we play basketball or tennis . We sit around a camp fire at night.We sing or tell stories . ",things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightWe sing tell stories 
147,joy,Arabic coffee what can I do to make you happy. ,Arabic coffee happy
150,joy,Morning tweeps.. Hope you guys have a great filled with and #happyness,Morning tweeps Hope guys great filled #happyness
151,joy,When I received the first year results as the first year had involved a lot of work and I was very pleased when I got the results.,received year results year involved lot work pleased got results
160,joy,Lady A concert with @KDClapp06 by some sketchy people. ,Lady concert   sketchy people
166,joy,When I passed my form three exams.,passed form exams
